Row,CPUUtilization_Average,NetworkIn_Average,NetworkOut_Average,MemoryUtilization_Average,Final_Target
14096,57,363145829,328031526,57.44762149,54.78169339
14097,59,248740227,225914300,75.29286503,64.00132419
14098,59,253495481,240345311,63.69287021,58.46225868
14099,64,298366359,279306582,56.7706906,57.45434967
14100,62,337828817,318909150,46.65884206,51.84852121
14101,54,287554547,252095321,44.37826213,47.12609263
14102,70,104050684,92789732,60.18569009,62.02690626
14103,69,392401194,364339265,42.24908363,53.02389176
14104,63,404833026,376374679,39.50055831,48.98662767
14105,56,306700457,278641997,44.89409694,48.36061992
14106,74,281224644,268272466,68.1661341,67.5833522
14107,55,217413732,205743265,75.33844665,62.43296327
14108,60,327433351,302782911,78.97673439,66.29829426
14109,54,248369315,238620244,48.30190568,48.78822797
14110,53,171549459,160495710,63.25503558,55.69665899
14111,59,310687119,282731564,41.02245283,47.88218336
14112,59,418211938,387753367,29.23955143,41.94619689
14113,58,302430169,278610231,59.50308994,56.22449576
14114,56,265848057,250829671,57.82801556,54.22353369
14115,58,270405428,246138883,52.1656042,52.72023064
14116,55,307124152,295502069,48.92770983,49.8065905
14117,54,246094993,220226735,32.22915444,41.36957564
14118,57,253303538,231658273,52.67024101,52.54800836
14119,61,289425014,260221149,70.56548403,62.91155926
14120,59,314594806,296438252,54.16362774,54.21745476
14121,55,263789351,251440029,49.81244806,50.17188711
14122,54,353423548,338786500,53.22255362,51.26573299
14123,61,267626654,262603037,58.06615387,56.62458769
14124,55,290499369,270508483,58.29877429,54.30836466
14125,66,360104419,331162915,69.45002948,64.59007039
14126,68,279095818,257231668,69.22507745,65.24804713
14127,75,417365010,399207769,62.73760325,65.81171491
14128,59,313820546,297071853,49.09163537,51.41575783
14129,62,345920794,310773771,58.03902552,57.41769696
14130,66,283430814,270081023,83.17373684,71.12323433
14131,64,322850242,283630532,67.59827476,62.6485165
14132,60,253803006,224451482,70.53714722,62.11373512
14133,62,294748299,277773822,39.80208882,48.74452068
14134,65,373755279,330814377,58.20696869,58.60333611
14135,59,260300399,242003485,60.58625744,57.1180918
14136,59,352734728,314543491,37.53604415,46.15921616
14137,78,373092375,342240002,62.49864655,67.19577237
14138,58,325523141,286687425,41.43034823,47.33771242
14139,54,208851539,191304304,66.52924945,57.51568473
14140,65,373956174,350223787,32.25606233,46.51348869
14141,65,301909078,287734777,58.77802237,58.97586455
14142,56,342223133,300835031,39.14771532,45.33137744
14143,60,324375107,299611274,53.78245783,54.40305423
14144,55,312007929,287257909,57.60459243,53.71295521
14145,60,333437266,309182020,75.61756058,64.80791701
14146,65,367066259,341328493,65.89267799,62.52547112
14147,58,288318098,275411638,65.92816044,58.94103743
14148,56,241829615,221494961,65.48004658,57.88957851
14149,67,373158580,347317537,59.87745044,60.38105395
14150,57,321249311,299940482,42.67612596,47.72433804
14151,55,302744993,294593584,63.76154494,56.50818994
14152,66,394151176,377723916,60.28334249,60.3871688
14153,61,339556699,332776734,59.63923612,57.67834315
14154,73,365384819,319086729,75.16590108,70.86151576
14155,55,231385284,216212143,48.82639453,49.7622535
14156,55,238522358,231840471,64.96640945,57.11941827
14157,58,272265536,265367663,80.93347457,66.44905607
14158,54,248593591,233811188,70.61730842,59.50958318
14159,70,232854391,217249313,54.35129492,59.14383292
14160,71,394961325,358450488,51.90008617,58.54169495
14161,61,379547528,353654124,50.85309289,53.50095044
14162,62,340005170,309424047,55.82302448,56.30909532
14163,56,247139154,228876311,46.3271872,48.88916022
14164,64,414412703,386200088,41.04543979,49.95828105
14165,56,306354485,285336527,62.80118248,56.68224985
14166,55,181156913,164836480,68.79725429,59.01800562
14167,54,335061857,305995349,40.76231109,45.18987155
14168,60,352166867,330569692,58.74792988,56.93477907
14169,59,192033739,174058769,79.79197652,66.16930934
14170,56,301069404,282406186,51.99008536,51.593412
14171,68,295441404,275836574,70.55904755,65.87845867
14172,75,377547894,359599781,77.10193734,72.52963287
14173,62,238963841,224800729,67.89333398,62.08277282
14174,53,252603223,243852743,36.92860362,43.17164705
14175,69,263326017,259631998,61.13044656,61.84591857
14176,63,145232831,148248478,51.2554332,54.57238807
14177,59,305668120,276514982,65.21914247,59.20587027
14178,54,230715308,220053950,56.8402276,52.97595887
14179,79,443361842,411764718,75.74745287,74.01912846
14180,60,230051215,222998148,69.99275124,62.04130283
